"version_ID","master_ID","publication","publication_year","local_path","DR_group_ID","locality","country","lat","long","mean_date_BP","date_range","SNP_hits","assessment"
"I6789","I6789","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I6789.bam","Kazakhstan_Maitan_MLBA_Alakul","Maitan","Kazakhstan",50.09,74.44,3732,"1879-1691 calBCE (3455±20 BP, PSUAMS-2922)",843409,"PASS"
"I6788","I6788","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I6788.bam","Kazakhstan_MLBA_Alakul_Lisakovskiy","Lisakovskiy","Kazakhstan",52.61,62.69,3674,"1870-1631 calBCE (3425±20 BP, PSUAMS-2921)",244356,"PASS"
"I3874","I3874","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I3874_1240k.bam","France_BellBeaker","Villard","France",44.476,6.369,4065,"2201-2035 calBCE (3725±25 BP, PSUAMS-1835)",652965,"PASS"
"I9130","I9130","LazaridisNature2017","2017","/media/ydiekman/external1/Documents/__MAINZ/data/Lazaridis_Nature_2017/BAM/I9130.1240K.bam","Greece_Minoan_Odigitria","Crete, Heraklion, Moni Odigitria","Greece",35.05138889,24.81361111,3895,"2210-1680 BCE",92186,"PASS"
"I4323","I4323","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I4323.bam","Kazakhstan_Kyzlbulak_MLBA1","Kyzyl Bulak 1","Kazakhstan",43.24655,77.813814,3622,"1741-1619 calBCE (3385±20 BP, PSUAMS-2963)",730820,"PASS"
"I6543","I6543","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I6543_1240k.bam","Spain_C","Madrid, San Fernando de Henares, Camino de las Yeseras","Spain",40.439,-3.501,4100,"2600-1700 BCE",105188,"PASS"
"I6542_published","I6542","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I6542_1240k.bam","Spain_C_published","Madrid, San Fernando de Henares, Camino de las Yeseras","Spain",40.439,-3.501,4100,"2600-1700 BCE",162147,"PASS (literature)"
"I6547","I6547","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I6547.bam","Pakistan_Barikot_IA_o","Swat Valley, Barikot","Pakistan",34.75700556,72.36238056,200,"200 BCE - 100 CE",336190,"PASS"
"I6546","I6546","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I6546.bam","Pakistan_Barikot_IA","Swat Valley, Barikot","Pakistan",34.75700556,72.36238056,2841,"978-831 calBCE (2760±20 BP, PSUAMS-2787)",597160,"PASS"
"I6545","I6545","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I6545.bam","Pakistan_Barikot_IA","Swat Valley, Barikot","Pakistan",34.75700556,72.36238056,2821,"925-826 calBCE (2740±20 BP, PSUAMS-2786)",506337,"PASS"
"I7719","I7719","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I7719.bam","Pakistan_H_SaiduSharif","Swat Valley, Saidu Sharif","Pakistan",34.75700556,72.36238056,2250,"400-200 BCE",826439,"PASS"
"I6549","I6549","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I6549.bam","Pakistan_H_Butkara","Swat Valley, Butkara IV","Pakistan",34.76140556,72.37008056,2041,"165-2 calBCE (2080±20 BP, PSUAMS-2788)",573555,"PASS"
"I6548","I6548","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I6548.bam","Pakistan_Barikot_IA","Swat Valley, Barikot","Pakistan",34.75700556,72.36238056,2850,"1000-800 BCE",188029,"PASS (mtcontam=[0.944,0.977])"
"I3453","I3453","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I3453.bam","Kazakhstan_LBA_Tasbas_lc","Tasbas, Byan Zherek","Kazakhstan",45.13427,79.36794,3100,"1300-1000 BCE",8696,"QUESTIONABLE_CRITICAL (damage.ds.half=0.024, sexratio=0.041)"
"ASH3.SG","ASH3","CassidyNature2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Cassidy_Nature_2020/ASH3-D-EX3.trimmed25bp25q.sorted.grouped.duprm.indel.bam","Ireland_EN_MN.SG","Ireland, Tipperary, Ashleypark","Ireland",52.93106,-8.187431,5609,"3764-3534 calBCE (4876±34 BP, UBA-38310)",823501,"PASS (literature)"
"QUIN58.SG","QUIN58","BrunelPNAS2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Brunel_PNAS_2020/QUIN58.mappedHs37d5.trim2.bam","France_Occitanie_EMBA.SG","Occitanie (South), Castelnaudary, Quinquiris","France",43.29568,1.96175,3600,"2100-1200 BCE",111163,"PASS (literature)"
"I3451","I3451","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I3451.bam","Kazakhstan_IA_Tasbas","Tasbas, Byan Zherek","Kazakhstan",45.13427,79.36794,2816,"930-806 calBCE (2720±35 BP, OS-97172)",508194,"PASS (damage.ds.half=0.043)"
"RISE210.SG","RISE210","AllentoftNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Allentoft_Nature_2015/BAM/RISE210.hg19.flt.sort.rmdup.realign.md.bam","Sweden_BA.SG","Ängamöllan","Sweden",55.997,14.104,3312,"1436-1286 calBCE (3105±28 BP, OxA-29654)",50468,"PASS (literature)"
"I7949","I7949","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I7949.bam","Czech_BA_Veterov_1","Bilina","Czech Republic",50.548056,13.776111,3022,"1192-1005 calBCE (2890±20 BP, PSUAMS-6927)",857331,"PASS"
"POST_1_d","POST_1","MittnikScience2019","2019","sample_removed (related)","","","",NA,NA,NA,"",NA,""
"I7717","I7717","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I7717.bam","Pakistan_H_SaiduSharif","Swat Valley, Saidu Sharif","Pakistan",34.75700556,72.36238056,2283,"406-209 calBCE (2292±31 BP, CIRCE-DSH-5625)",861701,"PASS"
"POST_6","POST_6","MittnikScience2019","2019","/media/ydiekman/external1/Documents/__MAINZ/data/Mittnik_Science_2019/BAM/POST_6.bam","Germany_Lech_EBA","Haunstetten-Postillionstraße","Germany",48.29573,10.89103,3873,"2015-1830 calBCE (3574±19 BP, MAMS-18955)",966701,"QUESTIONABLE (Xcontam=[0.018,0.023])"
"I10372","I10372","FernandesNatureEcologyEvolution2020","2020","/media/ydiekman/external1/Documents/__MAINZ/data/Fernandes_NEE_2020/BAM/I10372.hg19.bam","Italy_Sicily_LBA","Sicily, Marcita","Italy",37.68,12.789,3198,"1377-1130 calBCE (3005±20 BP, PSUAMS-5891)",778202,"PASS (batch.flag)"
"I10373","I10373","FernandesNatureEcologyEvolution2020","2020","sample_removed (related)","","","",NA,NA,NA,"",NA,""
"I7542","I7542","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I7542.bam","Uzbekistan_SappaliTepe_BA","Sappali Tepe","Uzbekistan",37.41666667,66.83333333,3766,"1886-1747 calBCE (3495±20 BP, PSUAMS-3231)",476130,"PASS"
"I10371","I10371","FernandesNatureEcologyEvolution2020","2020","/media/ydiekman/external1/Documents/__MAINZ/data/Fernandes_NEE_2020/BAM/I10371.hg19.bam","Italy_Sicily_LBA","Sicily, Marcita","Italy",37.68,12.789,3100,"1400-900 BCE",36983,"PASS (batch.flag)"
"I4055_published","I4055","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I4055_1240k.bam","Spain_Roman_published","Granada, Plaza Einstein","Spain",37.1775,-3.609166667,1650,"200-400 CE",57188,"PASS"
"I7547","I7547","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I7547_1240k.bam","Spain_MLN","Cádiz, San Fernando, Campo de Hockey","Spain",36.445,-6.21,5950,"4300-3700 BCE",65285,"PASS (mtcontam=[0.942,0.976])"
"I0233","I0233","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I0233.bam","Russia_Srubnaya_Scythian_Sarmatian_possible","Samara Oblast, Volga River Valley, Tatarstan oblast, forest-steppe zone, Novosel'ki","Russia",48.1,54.44,3475,"1850-1200 BCE",35413,"PASS (damage.ds.half=0.049, mtcontam=[0.955,0.972])"
"I0232","I0232","NarasimhanPattersonScience2019 (supplement of MathiesonNature2018)","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I0232.bam","Russia_Srubnaya","Samara Oblast, Volga River Valley, Tatarstan oblast, forest-steppe zone, Novosel'ki","Russia",48.1,54.44,3475,"1850-1200 BCE",1112239,"PASS"
"Uzbeks1.SG","Uzbeks1","DamgaardScience2018","..","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"I0235","I0235","MathiesonNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I0235.1240k.bam","Russia_Srubnaya","Samara Oblast, Volga River Valley, Samara Steppes, Rozhdestveno I","Russia",53.14,50.01,3675,"1850-1600 BCE",404082,"PASS"
"I0234","I0234","MathiesonNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I0234.1240k.bam","Russia_Srubnaya","Samara Oblast, Volga River Valley, Samara Steppes, Rozhdestveno I","Russia",53.14,50.01,3675,"1850-1600 BCE",451400,"PASS"
"I8475","I8475","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I8475_1240k.bam","Spain_Roman_oMixed","Girona, Empuries, necropolis Centre de Visitants","Spain",42.1333,3.1083,1800,"100-200 CE",551105,"PASS"
"I8474","I8474","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I8474_1240k.bam","Spain_Roman_oLocal","Girona, Empuries, necropolis Centre de Visitants","Spain",42.1333,3.1083,1800,"100-200 CE",46847,"PASS"
"GB.SG","GB","GonzalesFortesCurrentBiology2017","2017","/media/ydiekman/external2/Documents/__MAINZ/data/GonzalesFortes_CurBio_2017/GB_hg19_duprem30_realigned.bam","Romania_C_oHG.SG","Gura Baciului","Romania",46.7877247,23.520877,5389,"3512-3350 calBCE (4621±28 BP, MAMS-28614)",1116974,"PASS (literature)"
"ATP17.SG","ATP17","GuntherPNAS2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Gunther_PNAS_2015/ATP17.merged.hs37d5.fa.cons.90perc.bam","Spain_C.SG","El Portalon Cave, Sierra de Atapuerca","Spain",42.3525,-3.518333333,4849,"3008-2783 calBCE (4280±30 BP, Beta-368290)",38517,"PASS"
"RISE523.SG","RISE523","AllentoftNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Allentoft_Nature_2015/BAM/RISE523.hg19.flt.sort.rmdup.realign.md.bam","Russia_Mezhovskaya.SG","Kapova cave","Russia",53.043,57.066,3411,"1531-1403 calBCE (3192±37 BP, OxA-31447)",1024216,"PASS (literature)"
"RISE525.SG","RISE525","AllentoftNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Allentoft_Nature_2015/BAM/RISE525.hg19.flt.sort.rmdup.realign.md.bam","Russia_Mezhovskaya.SG","Kapova cave","Russia",53.043,57.066,3000,"1300-800 BCE",257782,"PASS (literature)"
"RISE524.SG","RISE524","AllentoftNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Allentoft_Nature_2015/BAM/RISE524.hg19.flt.sort.rmdup.realign.md.bam","Russia_Mezhovskaya.SG","Kapova cave","Russia",53.043,57.066,3000,"1300-800 BCE",38526,"PASS (literature)"
"I1738","I1738","MathiesonNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Mathieson_Nature_2018/BAM/I1738.bam","Ukraine_N","Vovnigi","Ukraine",48.133333,35.083333,7348,"5475-5320 calBCE (6420±40 BP, Poz-81153)",725220,"PASS (Xcontam=[0.005,0.013])"
"I12464","I12464","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12464.bam","Pakistan_Katelai_IA","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",635165,"PASS"
"I12465","I12465","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12465.bam","Pakistan_Katelai_IA","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",200090,"PASS"
"I12466","I12466","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12466.bam","Pakistan_Katelai_IA_lc","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",2901,"QUESTIONABLE (2500.to.5000.SNPs)"
"I12460","I12460","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12460.bam","Pakistan_Katelai_IA","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",682756,"PASS"
"I12461","I12461","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12461.bam","Pakistan_Katelai_IA","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",399222,"PASS"
"I12462","I12462","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12462.bam","Pakistan_Katelai_IA","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",679046,"PASS"
"I11488_published","I11488","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I11488.bam","Iran_ShahrISokhta_BA2_published_lc","Seistan, Shahr-i Sokhta","Iran",30.649857,61.400311,4600,"3200-2100 BCE",5623,"QUESTIONABLE (sexratio=0.031, mtcontam=[0.61,0.964])"
"I11483","I11483","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I11483.bam","Iran_BA1_ShahrISokhta","Seistan, Shahr-i Sokhta","Iran",30.649857,61.400311,4942,"3092-2915 calBCE (4385±25 BP, PSUAMS-5717)",65767,"PASS (damage.ds.half=0.039)"
"I11480_published","I11480","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I11480.bam","Iran_ShahrISokhta_BA2_published_contam","Seistan, Shahr-i Sokhta","Iran",30.649857,61.400311,4800,"2900-2800 BCE",20314,"QUESTIONABLE_CRITICAL (mtcontam=[0.477,0.75])"
"VK385.SG","VK385","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK384.SG","VK384","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK387.SG","VK387","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"AH1.SG","AH1","BroushakiScience2016","2016","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"I0839","I0839","OlaldeScience2019 (supplement of OlaldeNature2018)","2018","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I0839_new_1240k.bam","Portugal_C","Almonda, Galeria da Cisterna","Portugal",39.5,-8.616666667,4264,"2456-2203 calBCE (3847±29 BP, OxA-28859)",88798,"PASS"
"VK380.SG","VK380","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK383.SG","VK383","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK382.SG","VK382","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK389.SG","VK389","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK388.SG","VK388","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"I0520","I0520","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I0520_1240k.bam","England_N","England, Northampton, Banbury Lane","Great Britain",52.21725278,-0.940216667,5180,"3360-3100 BCE",16895,"PASS"
"AMC005","AMC005","MarcusNatureCommunications2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Marcus_NatCom_2020/AMC005.A0102.TF.bam","Italy_Sardinia_Roman","Alghero, SS, Aho M. Carru","Italy",40.566555,8.347884,1775,"100-250 CE",132274,"PASS (literature)"
"DA340.SG","DA340","DamgaardScience2018","2018","/media/ydiekman/external2/Documents/__MAINZ/data/Damgaard_Science_2018/BAM/DA340.sort.rmdup.realign.md.bam","Russia_Lokomotiv_Eneolithic.SG","Lokomotiv","Russia",52.286944,104.249167,7023,"5217-4852 calBCE (6130±60 BP)",396340,"PASS (literature)"
"AMC001","AMC001","MarcusNatureCommunications2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Marcus_NatCom_2020/AMC001.A0102.TF.bam","Italy_Sardinia_Roman_o","Alghero, SS, Aho M. Carru","Italy",40.566555,8.347884,1772,"125-234 calCE (1863±22 BP, MAMS-39519)",153681,"PASS (literature)"
"I0659_published","I0659","LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Lipson_Nature_2017/BAM/I0659.1240k.bam","Germany_EN_LBK_published","Halberstadt-Sonntagsfeld","Germany",51.89583333,11.04666667,7031,"5210-4952 calBCE (6130±40 BP, KIA-40350)",648193,"PASS (literature)"
"RISE145.SG","RISE145","AllentoftNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Allentoft_Nature_2015/BAM/RISE145.hg19.flt.sort.rmdup.realign.md.bam","Poland_EBA_Unetice.SG","Polwica","Poland",50.913,17.177,4015,"2191-1956 calBCE (3677±31 BP, UB-16564)",27376,"PASS (literature)"
"BG72.SG","BG72","CassidyNature2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Cassidy_Nature_2020/BG72-C-EX3.trimmed25bp25q.sorted.grouped.duprm.indel.bam","Ireland_MN.SG","Ireland, Carlow, Baunogenasraid","Ireland",52.807364,-6.823305,5467,"3633-3377 calBCE (4735±35 BP, GrN-11362)",863198,"PASS (literature)"
"Ajvide59.SG","Ajvide59","SkoglundScience2014","2014","/media/ydiekman/external2/Documents/__MAINZ/data/Skoglund_Science_2014/Ajv59.hs37d5.fa.merged.newhead.bam","Sweden_PWC.SG_lc","Gotland, Stora Karlsö","Sweden",57.287,18.206,4700,"2900-2600 BCE",5911,"PASS (literature)"
"RISE61.SG","RISE61","AllentoftNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Allentoft_Nature_2015/BAM/RISE61.hg19.flt.sort.rmdup.realign.md.bam","Denmark_MN_B.SG","Kyndelöse","Denmark",55.703,11.855,4569,"2848-2492 calBCE (4071±27 BP, OxA-28296)",287949,"PASS (literature)"
"I12144_published","I12144","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12144.bam","Pakistan_Katelai_IA_published","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",91557,"PASS"
"I10852_published","I10852","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I10852_1240k.bam","Spain_Medieval_published","Catalonia, Girona, Sant Julià de Ramis","Spain",42.0507,2.867,908,"990-1154 calCE (1010±30 BP, Beta-458692)",304635,"PASS"
"WEHR_1415child","WEHR_1415child","MittnikScience2019","2019","sample_removed (related)","","","",NA,NA,NA,"",NA,""
"I6667","I6667","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I6667.bam","Turkmenistan_LBA_Parkhai_o","Parkhai I","Turkmenistan",38.348048,56.24543,3400,"1498-1413 calBCE (3170±20 BP, PSUAMS-2998)",811059,"PASS"
"I1542","I1542","MathiesonNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I1542.1240k.bam","Germany_CordedWare","Esperstedt","Germany",51.42,11.68,4225,"2500-2050 BCE",76340,"PASS"
"SUA002","JK2716","MarcusNatureCommunications2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Marcus_NatCom_2020/SUA002.A0201.TF.bam","Italy_Sardinia_EBA","Seulo, CA, Riparo sotto roccia Su Asedazzu","Italy",39.87,9.2356,4076,"2274-2032 calBCE (3732±30 BP, MAMS-28655)",701703,"PASS"
"I0781","I0781","MathiesonNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Mathieson_Nature_2018/BAM/I0781.bam","Bulgaria_C","Yunatsite","Bulgaria",42.232227,24.262688,6404,"4537-4367 calBCE (5632±24 BP, MAMS-28134)",461034,"PASS"
"I0785","I0785","MathiesonNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Mathieson_Nature_2018/BAM/I0785.bam","Bulgaria_C","Yunatsite","Bulgaria",42.232227,24.262688,6353,"4451-4354 calBCE (5578±23 BP, MAMS-28135)",76347,"PASS"
"LU339.SG","LU339","GonzalesFortesProcRoyalSocB2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/GonzalesFortes_PRSB_2019/LU339_duprem30_realigned.bam","Portugal_MN.SG","Lorga de Din","Portugal",41.708333,-6.927778,4849,"3008-2783 calBCE (4280±30 BP, Beta-441386)",1124350,"PASS (literature)"
"I0013","I0013","MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I0013.1240k.bam","Sweden_Motala_HG","Motala, Kanaljorden","Sweden",58.535,15.046,7722,"5966-5634 calBCE (6877±69 BP, Ua-42117)",318346,"QUESTIONABLE (formalXcontam=0.028 but too few SNPs to do much)"
"I0012","I0012","MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I0012.1240k.bam","Sweden_Motala_HG","Motala, Kanaljorden","Sweden",58.535,15.046,7598,"5715-5569 calBCE (6734±30 BP, Ua-51722)",787312,"PASS (Xcontam=0.004)"
"I0011","I0011","MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I0011.1240k.bam","Sweden_Motala_HG","Motala, Kanaljorden","Sweden",58.535,15.046,7564,"5721-5484 calBCE (6701±64 BP, Ua-42116)",621320,"PASS"
"I0017","I0017","MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)","2014","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I0017.1240k.bam","Sweden_Motala_HG","Motala, Kanaljorden","Sweden",58.535,15.046,7624,"5722-5628 calBCE (6773±30 BP, Ua-51723)",920441,"PASS (Xcontam=0.004)"
"I2163","I2163","MathiesonNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Mathieson_Nature_2018/BAM/I2163.bam","Bulgaria_MLBA","Merichleri, Kairyaka necropolis","Bulgaria",42.132897,25.496288,3639,"1866-1615 calBCE (3400±30 BP, Beta-432796)",825494,"PASS"
"I0015","I0015","MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I0015.1240k.bam","Sweden_Motala_HG","Motala, Kanaljorden","Sweden",58.535,15.046,7710,"5967-5627 calBCE (6863±75 BP, Ua-42120)",600144,"PASS"
"I0014","I0014","MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I0014.1240k.bam","Sweden_Motala_HG","Motala, Kanaljorden","Sweden",58.535,15.046,7686,"5885-5624 calBCE (6842±68 BP, Ua-42118)",739313,"PASS"
"Stuttgart_published.DG","I0018","LazaridisNature2014","2014","/media/ydiekman/external2/Documents/__MAINZ/data/Lipson_Nature_2017/BAM/I0018.1240k.reheader.bam","Germany_EN_LBK_Stuttgart_published.DG","Baden-Württemberg, Stuttgart-Mühlhausen, Viesenhaeuser Hof","Germany",48.78,9.18,7168,"5307-5071 calBCE (6246±30 BP, MAMS-24635)",1130723,"PASS (SGDP, Fully Public)"
"I1793","I1793","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I1793.bam","Turkmenistan_Gonur_BA_1","Gonur","Turkmenistan",38.21228,62.03443,4038,"2195-2027 calBCE (3700±20 BP, PSUAMS-2312)",113140,"PASS"
"R851.SG","R851","AntonioGaoMootsScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Antonio_Science_2019/R851.bam","Italy_IA_Republic.SG","Ardea","Italy",41.6026782,12.508636,2600,"800-500 BCE",634123,"PASS (literature)"
"R850.SG","R850","AntonioGaoMootsScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Antonio_Science_2019/R850.bam","Italy_IA_Republic_oEasternMediterranean.SG","Ardea","Italy",41.6026782,12.508636,2600,"800-500 BCE",608614,"PASS (literature)"
"I2110","I2110","MathiesonNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Mathieson_Nature_2018/BAM/I2110.bam","Ukraine_Eneolithic_Trypillia","Verteba Cave","Ukraine",48.7225,25.880833,5697,"3911-3650 calBCE (4976±33 BP, OxA-26203)",164691,"PASS"
"I0840","I0840","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I0840_1240k.bam","Portugal_C","Almonda, Galeria da Cisterna","Portugal",39.5,-8.616666667,4243,"2454-2153 calBCE (3836±29 BP, OxA-28857)",133290,"PASS"
"I1790","I1790","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I1790.bam","Turkmenistan_Gonur_BA_1","Gonur","Turkmenistan",38.21228,62.03443,3994,"2135-1953 calBCE (3660±20 BP, PSUAMS-2311)",198651,"PASS"
"I1737_published","I1737","MathiesonNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Mathieson_Nature_2018/BAM/I1737.bam","Ukraine_Mesolithic_published","Vasil'evka","Ukraine",47.434167,35.276389,10358,"8543-8299 calBCE (9200±35 BP, PSUAMS-2394)",77982,"PASS"
"lai001.SG","lai001","SanchezQuintoPNAS2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/SanchezQuinto_PNAS_2019/lai001.hs37d5.fa.cons.90perc.bam","Scotland_Megalithic.SG","Knowe of Lairo","Great Britain",59.053,-2.853,5178,"3367-3102 calBCE (4537±34 BP, SUERC-45833)",124044,"PASS (literature)"
